ticket_id,organization,asset,actual_resolver,predicted_resolver,baseline_predicted,error_type,reason,possible_improvement
TCK-1488,ABC Corp,Cloud VM,Cloud Team,Application Team,Cloud Team,ambiguous intent,Ticket text 'User inquiry: Cloud storage bucket access permissi...' was ambiguous between teams.,Prompt user for clarifying questions during ticket submission.
TCK-1396,ABC Corp,Database Server,Database Team,Application Team,Database Team,ambiguous intent,Ticket text 'SQL query execution timing out for reporting servi...' was ambiguous between teams.,Prompt user for clarifying questions during ticket submission.
TCK-1224,XYZ Ltd,Laptop,Hardware Team,Network Team,Hardware Team,conflicting context,Organization XYZ Ltd contract restrictions conflict with natural intent resolver.,Fine-tune customer contract override policy rules.
TCK-1105,ABC Corp,Database Server,Database Team,Application Team,Database Team,ambiguous intent,Ticket text 'Issue reported: SQL query execution timing out for...' was ambiguous between teams.,Prompt user for clarifying questions during ticket submission.
TCK-1249,ABC Corp,Laptop,Security Team,Application Team,Security Team,insufficient permissions,Security threat keyword not flagged cleanly by intent classifier.,Expand security keyword lexicon in intent detection.
TCK-1499,XYZ Ltd,Cloud VM,Security Team,Application Team,Security Team,insufficient permissions,Security threat keyword not flagged cleanly by intent classifier.,Expand security keyword lexicon in intent detection.
TCK-1337,ABC Corp,Database Server,Database Team,Application Team,Database Team,ambiguous intent,Ticket text 'Help needed: Corrupted table index causing databas...' was ambiguous between teams.,Prompt user for clarifying questions during ticket submission.
TCK-1486,Acme Technologies,Laptop,Hardware Team,Cloud Team,Hardware Team,ambiguous intent,Ticket text 'User inquiry: Desktop PC failing to POST hardware ...' was ambiguous between teams.,Prompt user for clarifying questions during ticket submission.
TCK-1400,ABC Corp,Cloud VM,Cloud Team,Application Team,Cloud Team,ambiguous intent,Ticket text 'System Alert - Azure Cloud VM unreachable via SSH ...' was ambiguous between teams.,Prompt user for clarifying questions during ticket submission.
TCK-1167,Global Finance Inc,Cloud VM,Security Team,Application Team,Security Team,insufficient permissions,Security threat keyword not flagged cleanly by intent classifier.,Expand security keyword lexicon in intent detection.
TCK-1181,Global Finance Inc,VPN,Application Team,Network Team,Network Team,conflicting context,Organization Global Finance Inc contract restrictions conflict with natural intent resolver.,Fine-tune customer contract override policy rules.
