ticket_id,ticket_text,intent,organization,contract,priority,channel,asset,user_role,previous_resolver,assignment_history,assignment_count,correct_resolver
TCK-1001,URGENT: AWS EC2 instance instance status check failed,Cloud Outage,Acme Technologies,Mission Critical,High,Portal,Cloud VM,Manager,None,None,1,Cloud Team
TCK-1002,User inquiry: ERP software crashing upon submitting monthly invoice report,Application Crash,Global Finance Inc,Premium SLA,Low,Email,Application Server,Employee,Network Team,Cloud Team -> Security Team -> Cloud Team,4,Application Team
TCK-1003,System Alert - Ransomware threat notification detected on workstation,Security Incident,Acme Technologies,Mission Critical,High,Chat,Network Device,Employee,None,None,1,Security Team
TCK-1004,Help needed: SQL query execution timing out for reporting service,Database Outage,ABC Corp,Standard Enterprise,Medium,Phone,Database Server,Employee,None,None,1,Database Team
TCK-1005,URGENT: Mobile app freezing on checkout payment screen,Application Crash,Global Finance Inc,Premium SLA,Critical,Portal,Application Server,External Partner,None,None,1,Application Team
TCK-1006,Help needed: Auto-scaling group failing to launch new cloud instances,Cloud Outage,XYZ Ltd,Basic Support,High,Phone,Cloud VM,Employee,None,None,1,Application Team
TCK-1007,System Alert - Database connection pool exhausted on production server,Database Outage,Acme Technologies,Mission Critical,High,Phone,Database Server,Security Admin,None,None,1,Database Team
TCK-1008,Kubernetes pod crash loop backoff on cloud node,Cloud Outage,ABC Corp,Standard Enterprise,High,Email,Cloud VM,External Partner,None,None,1,Cloud Team
TCK-1009,Issue reported: Keyboard and trackpad unresponsive on developer laptop,Hardware Fault,Acme Technologies,Mission Critical,Low,Phone,Laptop,Employee,None,None,1,Hardware Team
TCK-1010,User inquiry: VPN tunnel dropping connection every few minutes,VPN Issue,Acme Technologies,Mission Critical,Critical,Chat,Network Device,Manager,Database Team,Cloud Team,2,Network Team
TCK-1011,Mobile app freezing on checkout payment screen,Application Crash,Global Finance Inc,Premium SLA,High,Email,Laptop,External Partner,None,None,1,Application Team
TCK-1012,System Alert - PostgreSQL database service stopped unexpectedly,Database Outage,ABC Corp,Standard Enterprise,High,Email,Database Server,Employee,None,None,1,Database Team
TCK-1013,URGENT: Potential data exfiltration alert triggered on firewall,Security Incident,Global Finance Inc,Premium SLA,Critical,Phone,Cloud VM,Security Admin,None,None,1,Security Team
TCK-1014,Cannot connect to corporate VPN from home network,VPN Issue,Acme Technologies,Mission Critical,High,Chat,VPN,IT Admin,Hardware Team,Cloud Team,2,Network Team
TCK-1015,URGENT: PostgreSQL database service stopped unexpectedly,Database Outage,Acme Technologies,Mission Critical,High,Phone,Database Server,External Partner,None,None,1,Database Team
TCK-1016,URGENT: Desktop app crashing with unhandled null pointer exception,Application Crash,Acme Technologies,Mission Critical,Low,Phone,Application Server,Security Admin,None,None,1,Application Team
TCK-1017,URGENT: Desktop PC failing to POST hardware boot diagnostic,Hardware Fault,XYZ Ltd,Basic Support,Low,Chat,Laptop,External Partner,None,None,1,Hardware Team
TCK-1018,Issue reported: Web portal throwing HTTP 500 internal server error,Application Crash,Global Finance Inc,Premium SLA,High,Chat,Application Server,External Partner,None,None,1,Application Team
TCK-1019,Web portal throwing HTTP 500 internal server error,Application Crash,Acme Technologies,Mission Critical,High,Chat,Desktop,Security Admin,None,None,1,Application Team
TCK-1020,Issue reported: Suspicious multiple failed login attempts from unknown IP address,Security Incident,XYZ Ltd,Basic Support,Medium,Email,VPN,Employee,None,None,1,Security Team
TCK-1021,Cannot connect to corporate VPN from home network,VPN Issue,ABC Corp,Standard Enterprise,Low,Phone,VPN,Manager,Hardware Team,Application Team,2,Network Team
TCK-1022,Issue reported: PostgreSQL database service stopped unexpectedly,Database Outage,Global Finance Inc,Premium SLA,Critical,Email,Database Server,Manager,Application Team,Hardware Team -> Application Team -> Application Team,4,Database Team
TCK-1023,Suspicious multiple failed login attempts from unknown IP address,Security Incident,ABC Corp,Standard Enterprise,Critical,Portal,Database Server,Employee,Cloud Team,Application Team,2,Security Team
TCK-1024,Issue reported: Corrupted table index causing database deadlock,Database Outage,Acme Technologies,Mission Critical,Medium,Chat,Database Server,Security Admin,None,None,1,Database Team
TCK-1025,URGENT: ERP software crashing upon submitting monthly invoice report,Application Crash,ABC Corp,Standard Enterprise,Medium,Chat,Application Server,Employee,None,None,1,Application Team
TCK-1026,URGENT: Corrupted table index causing database deadlock,Database Outage,XYZ Ltd,Basic Support,Critical,Phone,Database Server,Security Admin,None,None,1,Application Team
TCK-1027,System Alert - Employee account compromised sending phishing emails,Security Incident,Global Finance Inc,Premium SLA,Critical,Email,Desktop,Manager,None,None,1,Security Team
TCK-1028,URGENT: Desktop app crashing with unhandled null pointer exception,Application Crash,Acme Technologies,Mission Critical,Critical,Email,Application Server,Employee,Network Team,Security Team -> Network Team -> Cloud Team,4,Application Team
TCK-1029,System Alert - VPN tunnel dropping connection every few minutes,VPN Issue,ABC Corp,Standard Enterprise,Low,Portal,VPN,External Partner,None,None,1,Network Team
TCK-1030,User inquiry: Desktop app crashing with unhandled null pointer exception,Application Crash,Acme Technologies,Mission Critical,High,Email,Application Server,IT Admin,None,None,1,Application Team
TCK-1031,System Alert - Database cluster replication delay critical alert,Database Outage,Acme Technologies,Mission Critical,Critical,Portal,Database Server,Employee,Cloud Team,Hardware Team,2,Database Team
TCK-1032,URGENT: Database cluster replication delay critical alert,Database Outage,XYZ Ltd,Basic Support,High,Chat,Database Server,IT Admin,None,None,1,Application Team
TCK-1033,User inquiry: Kubernetes pod crash loop backoff on cloud node,Cloud Outage,ABC Corp,Standard Enterprise,Medium,Email,Cloud VM,External Partner,None,None,1,Cloud Team
TCK-1034,Issue reported: Slow throughput over Cisco AnyConnect VPN connection,VPN Issue,Acme Technologies,Mission Critical,High,Email,VPN,IT Admin,None,None,1,Network Team
TCK-1035,System Alert - Keyboard and trackpad unresponsive on developer laptop,Hardware Fault,Acme Technologies,Mission Critical,Critical,Phone,Laptop,Employee,Security Team,Database Team -> Security Team,3,Hardware Team
TCK-1036,User inquiry: Cloud storage bucket access permission denied,Cloud Outage,Global Finance Inc,Premium SLA,Medium,Portal,Cloud VM,External Partner,None,None,1,Application Team
TCK-1037,User inquiry: Azure Cloud VM unreachable via SSH connection,Cloud Outage,ABC Corp,Standard Enterprise,Critical,Email,Cloud VM,IT Admin,Network Team,Database Team -> Security Team,3,Cloud Team
TCK-1038,Azure Cloud VM unreachable via SSH connection,Cloud Outage,ABC Corp,Standard Enterprise,High,Email,Cloud VM,IT Admin,None,None,1,Cloud Team
TCK-1039,URGENT: Corrupted table index causing database deadlock,Database Outage,XYZ Ltd,Basic Support,High,Phone,Database Server,IT Admin,Network Team,Hardware Team -> Network Team -> Hardware Team,4,Application Team
TCK-1040,System Alert - SQL query execution timing out for reporting service,Database Outage,Acme Technologies,Mission Critical,High,Portal,Database Server,IT Admin,None,None,1,Database Team
TCK-1041,Help needed: Employee account compromised sending phishing emails,Security Incident,ABC Corp,Standard Enterprise,Critical,Phone,VPN,IT Admin,None,None,1,Security Team
TCK-1042,Issue reported: Remote access gateway timeout during sign in,VPN Issue,Acme Technologies,Mission Critical,Critical,Phone,VPN,Employee,None,None,1,Network Team
TCK-1043,User inquiry: Overheating CPU causing laptop system thermal shutdown,Hardware Fault,ABC Corp,Standard Enterprise,High,Portal,Laptop,Security Admin,None,None,1,Hardware Team
TCK-1044,User inquiry: Slow throughput over Cisco AnyConnect VPN connection,VPN Issue,XYZ Ltd,Basic Support,Low,Phone,Network Device,IT Admin,None,None,1,Network Team
TCK-1045,AWS EC2 instance instance status check failed,Cloud Outage,Acme Technologies,Mission Critical,Critical,Phone,Cloud VM,External Partner,None,None,1,Cloud Team
TCK-1046,Issue reported: Keyboard and trackpad unresponsive on developer laptop,Hardware Fault,XYZ Ltd,Basic Support,Medium,Phone,Desktop,Security Admin,None,None,1,Hardware Team
TCK-1047,Help needed: Remote access gateway timeout during sign in,VPN Issue,XYZ Ltd,Basic Support,Critical,Chat,Network Device,Security Admin,None,None,1,Network Team
TCK-1048,System Alert - PostgreSQL database service stopped unexpectedly,Database Outage,XYZ Ltd,Basic Support,Critical,Portal,Database Server,Employee,None,None,1,Application Team
TCK-1049,Issue reported: Database cluster replication delay critical alert,Database Outage,XYZ Ltd,Basic Support,Medium,Email,Database Server,Manager,None,None,1,Application Team
TCK-1050,System Alert - ERP software crashing upon submitting monthly invoice report,Application Crash,Global Finance Inc,Premium SLA,Critical,Chat,Application Server,External Partner,None,None,1,Application Team
TCK-1051,URGENT: Database connection pool exhausted on production server,Database Outage,Global Finance Inc,Premium SLA,Critical,Portal,Database Server,Manager,None,None,1,Database Team
TCK-1052,Issue reported: VPN client giving authentication error 800,VPN Issue,Global Finance Inc,Premium SLA,Critical,Chat,Network Device,External Partner,None,None,1,Application Team
TCK-1053,Issue reported: CRM module memory leak causing severe slow response,Application Crash,Global Finance Inc,Premium SLA,Medium,Phone,Laptop,Security Admin,None,None,1,Application Team
TCK-1054,CRM module memory leak causing severe slow response,Application Crash,XYZ Ltd,Basic Support,Low,Phone,Laptop,IT Admin,Database Team,Cloud Team -> Network Team,3,Application Team
TCK-1055,Issue reported: SQL query execution timing out for reporting service,Database Outage,Global Finance Inc,Premium SLA,Medium,Chat,Database Server,Manager,None,None,1,Database Team
TCK-1056,System Alert - CRM module memory leak causing severe slow response,Application Crash,ABC Corp,Standard Enterprise,Critical,Portal,Laptop,Manager,None,None,1,Application Team
TCK-1057,System Alert - CRM module memory leak causing severe slow response,Application Crash,ABC Corp,Standard Enterprise,Critical,Chat,Laptop,IT Admin,None,None,1,Application Team
TCK-1058,User inquiry: Auto-scaling group failing to launch new cloud instances,Cloud Outage,XYZ Ltd,Basic Support,Critical,Chat,Cloud VM,Security Admin,None,None,1,Application Team
TCK-1059,Employee account compromised sending phishing emails,Security Incident,Global Finance Inc,Premium SLA,Critical,Email,Network Device,Manager,None,None,1,Security Team
TCK-1060,System Alert - ERP software crashing upon submitting monthly invoice report,Application Crash,ABC Corp,Standard Enterprise,Critical,Email,Desktop,Employee,None,None,1,Application Team
TCK-1061,Help needed: Database connection pool exhausted on production server,Database Outage,Global Finance Inc,Premium SLA,Critical,Phone,Database Server,IT Admin,None,None,1,Database Team
TCK-1062,System Alert - Employee account compromised sending phishing emails,Security Incident,Acme Technologies,Mission Critical,Medium,Portal,Database Server,Employee,None,None,1,Security Team
TCK-1063,Desktop PC failing to POST hardware boot diagnostic,Hardware Fault,ABC Corp,Standard Enterprise,Medium,Email,Laptop,Employee,None,None,1,Hardware Team
TCK-1064,Issue reported: Web portal throwing HTTP 500 internal server error,Application Crash,XYZ Ltd,Basic Support,Low,Email,Desktop,Security Admin,None,None,1,Application Team
TCK-1065,Issue reported: Solid state drive reporting SMART disk failure error,Hardware Fault,ABC Corp,Standard Enterprise,Low,Portal,Desktop,Manager,None,None,1,Hardware Team
TCK-1066,System Alert - CRM module memory leak causing severe slow response,Application Crash,XYZ Ltd,Basic Support,Medium,Portal,Desktop,Employee,None,None,1,Application Team
TCK-1067,URGENT: Keyboard and trackpad unresponsive on developer laptop,Hardware Fault,ABC Corp,Standard Enterprise,High,Portal,Desktop,IT Admin,None,None,1,Hardware Team
TCK-1068,System Alert - Laptop screen flickering and going completely blank,Hardware Fault,Global Finance Inc,Premium SLA,High,Chat,Desktop,Employee,None,None,1,Application Team
TCK-1069,Ransomware threat notification detected on workstation,Security Incident,Acme Technologies,Mission Critical,Critical,Chat,Network Device,External Partner,None,None,1,Security Team
TCK-1070,Help needed: Auto-scaling group failing to launch new cloud instances,Cloud Outage,Acme Technologies,Mission Critical,Critical,Chat,Cloud VM,Manager,Application Team,Application Team -> Hardware Team,3,Cloud Team
